Time,Icc,Pm,Vwind,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.184,-2.30216e-006,2.99406,100.8,-3.88791e-005,18,42.1921,0.099885,15,28,2.6127,6985.86,731.557,0.00409273
0.185,-2.29861e-006,2.99845,100.8,-3.90207e-005,18,42.3499,0.100259,15,28,2.61653,6996.1,732.629,0.00409273
0.186,-2.2915e-006,3.00285,100.8,-3.91602e-005,18,42.5086,0.100634,15,28,2.62037,7006.36,733.704,0.00409273
0.187,-2.28795e-006,3.00726,100.8,-3.92976e-005,18,42.6682,0.101012,15,28,2.62422,7016.64,734.781,0.00409273
0.188,-2.28084e-006,3.01168,100.8,-3.94329e-005,18,42.8286,0.101392,15,28,2.62807,7026.95,735.861,0.00409273
0.189,-2.27729e-006,3.01611,100.8,-3.95662e-005,18,42.9899,0.101774,15,28,2.63194,7037.29,736.943,0.00409273
0.19,-2.27374e-006,3.02054,100.8,-3.96973e-005,18,43.1521,0.102158,15,28,2.63581,7047.64,738.027,0.00409273
0.191,-2.26663e-006,3.02499,100.8,-3.98263e-005,18,43.3152,0.102544,15,28,2.63969,7058.02,739.114,0.00409273
0.192,-2.25597e-006,3.02945,100.8,-3.99533e-005,18,43.4792,0.102932,15,28,2.64358,7068.43,740.204,0.00409273
0.193,-2.25597e-006,3.03392,100.8,-4.00782e-005,18,43.6441,0.103322,15,28,2.64748,7078.86,741.296,0.00409273
0.194,-2.24532e-006,3.1228,100.8,-4.02009e-005,18,43.8098,0.103715,15,28,2.65139,7089.31,742.391,0.00420641
0.195,-2.24887e-006,3.04289,100.8,-4.03216e-005,18,43.9766,0.104109,15,28,2.65531,7099.79,743.488,0.00409273
0.196,-2.23466e-006,3.13204,100.8,-4.04403e-005,18,44.1442,0.104506,15,28,2.65924,7110.29,744.588,0.00420641
0.197,-2.23466e-006,3.13668,100.8,-4.05568e-005,18,44.3128,0.104905,15,28,2.66318,7120.82,745.69,0.00420641
